Pitch,Velocity,Position,Length
54,104,2.0,6.207
66,104,2.0,6.207
78,104,2.0,6.207
49,116,8.0,7.775
61,116,8.0,7.775
73,116,8.0,7.775
64,103,15.75,8.144
76,103,15.75,8.144
52,108,15.75,8.144
47,91,24.0,8.0
59,96,24.0,8.0
71,96,24.0,8.0
