Pitch,Velocity,Position,Length
52,104,0.0,0.132
47,100,0.5,0.267
49,118,1.25,0.294
49,91,2.0,0.215
52,90,2.0,0.507
49,109,2.5,0.215
47,104,2.75,0.217
49,102,3.0,0.39
50,105,3.5,0.25
51,97,3.75,0.236
